IDLOCAL;LOCAL
137100;2.A1.06.14.04.04
137101;2.A1.06.14.04.05
137103;2.A1.06.14.05.01
137104;2.A1.06.14.05.02
137106;2.A1.06.14.05.04
137107;2.A1.06.14.05.05
137109;2.A1.06.14.06.01
137110;2.A1.06.14.06.02
137112;2.A1.06.14.06.04
137113;2.A1.06.14.06.05
137116;2.A1.06.15.01.01
137117;2.A1.06.15.01.02
137119;2.A1.06.15.01.04
137120;2.A1.06.15.01.05
137122;2.A1.06.15.02.01
137123;2.A1.06.15.02.02
137125;2.A1.06.15.02.04
137126;2.A1.06.15.02.05
137128;2.A1.06.15.03.01
137129;2.A1.06.15.03.02
137131;2.A1.06.15.03.04
137132;2.A1.06.15.03.05
137134;2.A1.06.15.04.01
137135;2.A1.06.15.04.02
137137;2.A1.06.15.04.04
137138;2.A1.06.15.04.05
137140;2.A1.06.15.05.01
137141;2.A1.06.15.05.02
137143;2.A1.06.15.05.04
137144;2.A1.06.15.05.05
137146;2.A1.06.15.06.01
137147;2.A1.06.15.06.02
137149;2.A1.06.15.06.04
137150;2.A1.06.15.06.05
137153;2.A1.06.16.01.01
137154;2.A1.06.16.01.02
137156;2.A1.06.16.01.04
137157;2.A1.06.16.01.05
137159;2.A1.06.16.02.01
137160;2.A1.06.16.02.02
137162;2.A1.06.16.02.04
137163;2.A1.06.16.02.05
137165;2.A1.06.16.03.01
137166;2.A1.06.16.03.02
137168;2.A1.06.16.03.04
137169;2.A1.06.16.03.05
137171;2.A1.06.16.04.01
137172;2.A1.06.16.04.02
137174;2.A1.06.16.04.04
137175;2.A1.06.16.04.05
137177;2.A1.06.16.05.01
137178;2.A1.06.16.05.02
137180;2.A1.06.16.05.04
137181;2.A1.06.16.05.05
137183;2.A1.06.16.06.01
137184;2.A1.06.16.06.02
137186;2.A1.06.16.06.04
137187;2.A1.06.16.06.05
137190;2.A1.06.17.01.01
137191;2.A1.06.17.01.02
137193;2.A1.06.17.01.04
137194;2.A1.06.17.01.05
137196;2.A1.06.17.02.01
137197;2.A1.06.17.02.02
137199;2.A1.06.17.02.04
137200;2.A1.06.17.02.05
137202;2.A1.06.17.03.01
137203;2.A1.06.17.03.02
137205;2.A1.06.17.03.04
137206;2.A1.06.17.03.05
137208;2.A1.06.17.04.01
137209;2.A1.06.17.04.02
137211;2.A1.06.17.04.04
137212;2.A1.06.17.04.05
137214;2.A1.06.17.05.01
137215;2.A1.06.17.05.02
137217;2.A1.06.17.05.04
137218;2.A1.06.17.05.05
137220;2.A1.06.17.06.01
137221;2.A1.06.17.06.02
137223;2.A1.06.17.06.04
137224;2.A1.06.17.06.05
137227;2.A1.06.18.01.01
137228;2.A1.06.18.01.02
137230;2.A1.06.18.01.04
137231;2.A1.06.18.01.05
137233;2.A1.06.18.02.01
137234;2.A1.06.18.02.02
137236;2.A1.06.18.02.04
137237;2.A1.06.18.02.05
137239;2.A1.06.18.03.01
137240;2.A1.06.18.03.02
137242;2.A1.06.18.03.04
137243;2.A1.06.18.03.05
137245;2.A1.06.18.04.01
137246;2.A1.06.18.04.02
137248;2.A1.06.18.04.04
137249;2.A1.06.18.04.05
137251;2.A1.06.18.05.01
137252;2.A1.06.18.05.02
137254;2.A1.06.18.05.04
137255;2.A1.06.18.05.05
137257;2.A1.06.18.06.01
137258;2.A1.06.18.06.02
137260;2.A1.06.18.06.04
137261;2.A1.06.18.06.05
137264;2.A1.06.19.01.01
137265;2.A1.06.19.01.02
137267;2.A1.06.19.01.04
79300821;1.D1.06.30.06.01
79300822;1.D1.06.30.06.02
137268;2.A1.06.19.01.05
137270;2.A1.06.19.02.01
137271;2.A1.06.19.02.02
137273;2.A1.06.19.02.04
137274;2.A1.06.19.02.05
137276;2.A1.06.19.03.01
137277;2.A1.06.19.03.02
137279;2.A1.06.19.03.04
137280;2.A1.06.19.03.05
137282;2.A1.06.19.04.01
137283;2.A1.06.19.04.02
137285;2.A1.06.19.04.04
137286;2.A1.06.19.04.05
137288;2.A1.06.19.05.01
137289;2.A1.06.19.05.02
137291;2.A1.06.19.05.04
137292;2.A1.06.19.05.05
137294;2.A1.06.19.06.01
137295;2.A1.06.19.06.02
137297;2.A1.06.19.06.04
137298;2.A1.06.19.06.05
137301;2.A1.06.20.01.01
137302;2.A1.06.20.01.02
137304;2.A1.06.20.01.04
137305;2.A1.06.20.01.05
137307;2.A1.06.20.02.01
137308;2.A1.06.20.02.02
137310;2.A1.06.20.02.04
137311;2.A1.06.20.02.05
137313;2.A1.06.20.03.01
137314;2.A1.06.20.03.02
137316;2.A1.06.20.03.04
137317;2.A1.06.20.03.05
137319;2.A1.06.20.04.01
137320;2.A1.06.20.04.02
137322;2.A1.06.20.04.04
137323;2.A1.06.20.04.05
137325;2.A1.06.20.05.01
137326;2.A1.06.20.05.02
137328;2.A1.06.20.05.04
137329;2.A1.06.20.05.05
137331;2.A1.06.20.06.01
137332;2.A1.06.20.06.02
137334;2.A1.06.20.06.04
137335;2.A1.06.20.06.05
137338;2.A1.06.21.01.01
137339;2.A1.06.21.01.02
137341;2.A1.06.21.01.04
137342;2.A1.06.21.01.05
137344;2.A1.06.21.02.01
137345;2.A1.06.21.02.02
137347;2.A1.06.21.02.04
137348;2.A1.06.21.02.05
137350;2.A1.06.21.03.01
137351;2.A1.06.21.03.02
137353;2.A1.06.21.03.04
137354;2.A1.06.21.03.05
137356;2.A1.06.21.04.01
137357;2.A1.06.21.04.02
137359;2.A1.06.21.04.04
137360;2.A1.06.21.04.05
137362;2.A1.06.21.05.01
137363;2.A1.06.21.05.02
137365;2.A1.06.21.05.04
137366;2.A1.06.21.05.05
137368;2.A1.06.21.06.01
137369;2.A1.06.21.06.02
137371;2.A1.06.21.06.04
137372;2.A1.06.21.06.05
137375;2.A1.06.22.01.01
137376;2.A1.06.22.01.02
137378;2.A1.06.22.01.04
137379;2.A1.06.22.01.05
137381;2.A1.06.22.02.01
137382;2.A1.06.22.02.02
137384;2.A1.06.22.02.04
137385;2.A1.06.22.02.05
137387;2.A1.06.22.03.01
137388;2.A1.06.22.03.02
137390;2.A1.06.22.03.04
137391;2.A1.06.22.03.05
137393;2.A1.06.22.04.01
137394;2.A1.06.22.04.02
137396;2.A1.06.22.04.04
137397;2.A1.06.22.04.05
137399;2.A1.06.22.05.01
137400;2.A1.06.22.05.02
137402;2.A1.06.22.05.04
137403;2.A1.06.22.05.05
137405;2.A1.06.22.06.01
137406;2.A1.06.22.06.02
137408;2.A1.06.22.06.04
137409;2.A1.06.22.06.05
137412;2.A1.06.23.01.01
137413;2.A1.06.23.01.02
137415;2.A1.06.23.01.04
137416;2.A1.06.23.01.05
137418;2.A1.06.23.02.01
137419;2.A1.06.23.02.02
137421;2.A1.06.23.02.04
137422;2.A1.06.23.02.05
137424;2.A1.06.23.03.01
137425;2.A1.06.23.03.02
137427;2.A1.06.23.03.04
137428;2.A1.06.23.03.05
137430;2.A1.06.23.04.01
137431;2.A1.06.23.04.02
137433;2.A1.06.23.04.04
137434;2.A1.06.23.04.05
137436;2.A1.06.23.05.01
137437;2.A1.06.23.05.02
137439;2.A1.06.23.05.04
137440;2.A1.06.23.05.05
137442;2.A1.06.23.06.01
137443;2.A1.06.23.06.02
222280;2.C2.05.04.03.01
222281;2.C2.05.04.03.02
222283;2.C2.05.04.03.04
222284;2.C2.05.04.03.05
222286;2.C2.05.04.04.01
222287;2.C2.05.04.04.02
